Gene	Alteration	Origin	Entities	Comments
FGFR4	Missense; ; ; ; ; 	Somatic; 	[rhabdomyosarcoma]; []	oncogene
FH	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [leiomyomatosis, renal]	TSG
FHIT	Translocation; ; ; ; ; 	Somatic; 	[pleomorphic salivary gland adenoma]; []	TSG, fusion
FIP1L1	Translocation; ; ; ; ; 	Somatic; 	[idiopathic hypereosinophilic syndrome]; []	fusion
FKBP9	Missense; ; ; ; ; 	Somatic; 	[glioma]; []	
FLCN	Missense; Nonsense; Frameshift; ; ; ; 	; Germline	[]; [renal, fibrofolliculomas, trichodiscomas]	TSG
FLI1	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma]; []	oncogene, fusion
FLNA	Missense; Frameshift; Other; ; ; 	Somatic; 	[phyllodes tumour of the breast]; []	
FLT3	Missense; Other; ; ; ; 	Somatic; 	[AML, ALL]; []	oncogene
FLT4	Amplication; ; ; ; ; 	Somatic; 	[soft tissue sarcoma]; []	oncogene
FNBP1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
FOXA1	Missense; Frameshift; ; ; ; 	Somatic; 	[breast, prostate]; []	oncogene
FOXL2	Missense; ; ; ; ; 	Somatic; 	[granulosa-cell tumour of the ovary]; []	oncogene, TSG
FOXO1	Translocation; ; ; ; ; 	Somatic; 	[alveolar rhabdomyosarcoma]; []	oncogene, TSG, fusion
FOXO3	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	oncogene, TSG, fusion
FOXO4	Translocation; ; ; ; ; 	Somatic; 	[AL, soft tissue sarcoma]; []	oncogene, TSG, fusion
FOXP1	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion
FOXR1	Translocation; ; ; ; ; 	Somatic; 	[neuroblastoma]; []	oncogene, fusion
FSTL3	Translocation; ; ; ; ; 	Somatic; 	[B-CLL]; []	oncogene, fusion
FUBP1	Frameshift; Nonsense; ; ; ; 	Somatic; 	[oligodendroglioma]; []	oncogene
FUS	Translocation; ; ; ; ; 	Somatic; 	[liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma]; []	TSG, fusion
GAS7	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	fusion
GATA1	Missense; Frameshift; ; ; ; 	Somatic; 	[megakaryoblastic leukaemia of Downs syndrome]; []	oncogene, TSG
GATA2	Missense; ; ; ; ; 	Somatic; 	[AML (CML blast transformation)]; []	oncogene
GATA3	Frameshift; Nonsense; Splice site; ; ; 	Somatic; 	[breast]; []	oncogene, TSG
GLI1	Translocation; Frameshift; ; ; ; 	Somatic; 	[CRC, oesophagus cancer]; []	oncogene, fusion
GMPS	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
GNA11	Missense; ; ; ; ; 	Somatic; 	[uveal melanoma, primary central nervous system melanocytic neoplasms]; []	oncogene
GNAQ	Missense; ; ; ; ; 	Somatic; 	[uveal melanoma, primary central nervous system melanocytic neoplasms]; []	oncogene
GNAS	Missense; ; ; ; ; 	Somatic; 	[pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia]; []	oncogene
GOLGA5	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, Spitzoid tumour]; []	fusion
GOLPH3	Amplication; ; ; ; ; 	Somatic; 	[breast cancer, NSCLC, ovarian cancer]; []	
GOPC	Translocation; ; ; ; ; 	Somatic; 	[glioblastoma, cholangiocarcinoma, borderline ovarian]; []	fusion
GPC3	Deletion; Missense; Nonsense; Frameshift; Splice site; 	; Germline	[]; [Wilms tumour]	oncogene, TSG
GPC5	Deletion; ; ; ; ; 	Somatic; 	[lung adenocarcinoma]; []	TSG
GPHN	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	fusion
GRIN2A	Missense; Nonsense; Frameshift; Other; ; 	Somatic; 	[melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma]; []	TSG
GRM3	Missense; Amplification; ; ; ; 	Somatic; 	[melanoma, oral SCC]; []	oncogene
H3F3A	Missense; ; ; ; ; 	Somatic; 	[glioma]; []	oncogene
H3F3B	Missense; ; ; ; ; 	Somatic; 	[chondroblastoma]; []	oncogene
HERPUD1	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion
HEY1	Translocation; ; ; ; ; 	Somatic; 	[mesenchymal chondrosarcoma]; []	oncogene, fusion
HIF1A	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic]; []	oncogene
HIP1	Translocation; ; ; ; ; 	Somatic; 	[CMML, NSCLC]; []	oncogene, fusion
HIST1H3B	Missense; ; ; ; ; 	Somatic; 	[glioma]; []	oncogene
HIST1H4I	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion
HLA-A	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion
HLF	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion
HMGA1	Translocation; ; ; ; ; 	Somatic; 	[microfollicular thyroid adenoma, various benign mesenchymal tumours]; []	oncogene, fusion
HMGA2	Translocation; ; ; ; ; 	Somatic; 	[lipoma, leiomyoma, pleomorphic salivary gland adenoma]; []	oncogene, fusion
HMGN2P46	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion
HNF1A	Missense; Frameshift; ; ; ; 	Somatic; Germline	[hepatic adenoma, hepatocellular]; [hepatic adenoma, hepatocellular carcinoma]	TSG
HNRNPA2B1	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	oncogene, fusion
HOOK3	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	fusion
HOXA11	Translocation; ; ; ; ; 	Somatic; 	[CML]; []	oncogene, TSG, fusion
HOXA13	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
HOXA9	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	oncogene, TSG, fusion
HOXC11	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
HOXC13	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
HOXD11	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
HOXD13	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	oncogene, fusion
HRAS	Missense; ; ; ; ; 	Somatic; Germline	[infrequent sarcomas, rare other tumour types]; [rhabdomyosarcoma, ganglioneuroblastoma, bladder]	oncogene
HSP90AA1	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion
HSP90AB1	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion
ID3	Missense; Nonsense; ; ; ; 	Somatic; 	[Burkitt lymphoma]; []	TSG
IDH1	Missense; ; ; ; ; 	Somatic; 	[glioblastoma]; []	oncogene
IDH2	Missense; ; ; ; ; 	Somatic; 	[glioblastoma]; []	oncogene
IGF2BP2	Deletion; ; ; ; ; 	Somatic; 	[lymphoma]; []	TSG
IGH	Translocation; ; ; ; ; 	Somatic; 	[MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS]; []	fusion
IGK	Translocation; ; ; ; ; 	Somatic; 	[Burkitt lymphoma, B-NHL]; []	fusion
IGL	Translocation; ; ; ; ; 	Somatic; 	[Burkitt lymphoma]; []	fusion
IKBKB	Missense; ; ; ; ; 	Somatic; 	[SMZL]; []	oncogene
IKZF1	Deletion; Translocation; ; ; ; 	Somatic; 	[ALL, DLBCL]; []	TSG, fusion
IKZF3	Deletion; Missense; Frameshift; Nonsense; Translocation; 	Somatic; 	[B-ALL, CLL, breast cancer, colorectal cancer]; []	oncogene, TSG, fusion
IL2	Translocation; ; ; ; ; 	Somatic; 	[intestinal T-cell lymphoma]; []	fusion
IL21R	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion
IL6ST	Other; ; ; ; ; 	Somatic; 	[hepatocellular carcinoma]; []	oncogene
IL7R	Missense; Other; ; ; ; 	Somatic; 	[ALL, ETP ALL]; []	oncogene
IRF4	Translocation; ; ; ; ; 	Somatic; 	[MM]; []	oncogene, TSG, fusion
IRS4	Missense; Frameshift; Translocation; ; ; 	Somatic; 	[glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL]; []	oncogene, TSG
ISX	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	
ITGAV	Frameshift; ; ; ; ; 	Somatic; 	[large intestine carcinoma]; []	
ITK	Translocation; ; ; ; ; 	Somatic; 	[peripheral T-cell lymphoma]; []	fusion
JAK1	Missense; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, TSG
JAK2	Translocation; Missense; Other; ; ; 	Somatic; 	[ALL, AML, MPN,  CML]; []	oncogene, fusion
JAK3	Missense; ; ; ; ; 	Somatic; 	[acute megakaryocytic leukaemia, ETP ALL]; []	oncogene
JAZF1	Translocation; ; ; ; ; 	Somatic; 	[endometrial stromal tumour]; []	fusion
JUN	Amplication; ; ; ; ; 	Somatic; 	[sarcoma]; []	oncogene
KAT6A	Translocation; Amplification; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
KAT6B	Translocation; ; ; ; ; 	Somatic; 	[AML, leiomyoma]; []	TSG, fusion
KAT7	Missense; ; ; ; ; 	Somatic; 	[CCRCC]; []	oncogene
KCNJ5	Missense; ; ; ; ; 	Somatic; 	[adrenal adenoma]; []	oncogene
KDM5A	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
KDM5C	Nonsense; Frameshift; Splice site; Missense; ; 	Somatic; 	[clear cell renal carcinoma]; []	TSG
KDM6A	Deletion; Nonsense; Frameshift; Splice site; ; 	Somatic; 	[renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types]; []	oncogene, TSG
KDR	Missense; ; ; ; ; 	Somatic; Germline	[NSCLC, angiosarcoma]; [melanoma]	oncogene
KDSR	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	fusion
KEAP1	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[NSCLC, breast carcinoma]; []	TSG
KIAA1549	Translocation; ; ; ; ; 	Somatic; 	[pilocytic astrocytoma]; []	fusion
KIF5B	Translocation; ; ; ; ; 	Somatic; 	[NSCLC, Spitzoid tumour]; []	fusion
KIT	Missense; Other; ; ; ; 	Somatic; Germline	[GIST, AML, TGCT, mastocytosis, mucosal melanoma]; [GIST, epithelioma]	oncogene
KLF4	Missense; ; ; ; ; 	Somatic; 	[meningioma]; []	oncogene, TSG
KLF6	Missense; Nonsense; ; ; ; 	Somatic; 	[prostate, glioma]; []	TSG
KLK2	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion
KMT2A	Translocation; Other; ; ; ; 	Somatic; 	[AML, ALL]; []	oncogene, fusion
KMT2C	Nonsense; ; ; ; ; 	Somatic; 	[medulloblastoma]; []	TSG
KMT2D	Nonsense; Frameshift; Missense; ; ; 	Somatic; 	[medulloblastoma, renal]; []	oncogene, TSG
KNL1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion
KNSTRN	Missense; ; ; ; ; 	Somatic; 	[SCC]; []	oncogene
KRAS	Missense; ; ; ; ; 	Somatic; 	[pancreatic, colorectal, lung, thyroid, AML, other tumour types]; []	oncogene
KTN1	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	fusion
LARP4B	Frameshift; Deletion; ; ; ; 	Somatic; 	[CRC, glioma]; []	TSG
LASP1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
LATS1	Missense; Nonsense; ; ; ; 	Somatic; 	[skin basal cell carcinoma]; []	TSG
LATS2	Deletion; Frameshift; Nonsense; ; ; 	Somatic; 	[malignant mesothelioma]; []	TSG
LCK	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
LCP1	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion
LEF1	Missense; Nonsense; ; ; ; 	Somatic; 	[B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas]; []	oncogene, TSG
LEPROTL1	Deletion; ; ; ; ; 	Somatic; 	[lung cancer, colon cancer]; []	TSG
LHFPL6	Translocation; ; ; ; ; 	Somatic; 	[lipoma]; []	fusion
LIFR	Translocation; ; ; ; ; 	Somatic; 	[salivary adenoma]; []	fusion
LMNA	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion
LMO1	Translocation; Amplification; ; ; ; 	Somatic; Germline	[T-ALL, neuroblastoma]; [neuroblastoma]	oncogene, fusion
LMO2	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
LPP	Translocation; ; ; ; ; 	Somatic; 	[lipoma, leukaemia]; []	oncogene, fusion
LRIG3	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	TSG, fusion
LRP1B	Deletion; Missense; Nonsense; Frameshift; ; 	Somatic; 	[CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer]; []	TSG
LSM14A	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion
LYL1	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
LYN	Missense; Translocation; ; ; ; 	Somatic; 	[DLBCL, B-ALL, MPN]; []	oncogene, fusion
LZTR1	Missense; Frameshift; Nonsense; ; ; 	Somatic; Germline	[glioblastoma]; [glioblastoma, schwannoma]	TSG
MACC1	Missense; ; ; ; ; 	Somatic; 	[liver, CRC]; []	oncogene
MAF	Translocation; ; ; ; ; 	Somatic; 	[MM]; []	oncogene, fusion
MAFB	Translocation; ; ; ; ; 	Somatic; 	[MM]; []	oncogene, fusion
MALAT1	Translocation; ; ; ; ; 	Somatic; 	[renal cell carcinoma (childhood epithelioid), lung]; []	oncogene, TSG, fusion
MALT1	Translocation; ; ; ; ; 	Somatic; 	[MALT]; []	oncogene, fusion
MAML2	Translocation; ; ; ; ; 	Somatic; 	[salivary gland mucoepidermoid]; []	oncogene, fusion
MAP2K1	Missense; ; ; ; ; 	Somatic; 	[NSCLC, melanoma, colorectal]; []	oncogene
MAP2K2	Missense; ; ; ; ; 	Somatic; 	[NSCLC, melanoma]; []	oncogene
MAP2K4	Deletion; Missense; Nonsense; ; ; 	Somatic; 	[pancreatic, breast, colorectal]; []	oncogene, TSG
MAP3K1	Nonsense; Frameshift; Missense; Other; Splice site; 	Somatic; 	[luminal A breast]; []	oncogene, TSG
MAP3K13	Frameshift; ; ; ; ; 	Somatic; 	[breast]; []	oncogene, TSG
MAPK1	Missense; ; ; ; ; 	Somatic; 	[CLL, ovarian mixed germ cell tumour, cervical carcinoma]; []	oncogene
MAX	Missense; Nonsense; Frameshift; ; ; 	Somatic; Germline	[pheochromocytoma, endometrioid carcinoma, colon carcinoma]; [pheochromocytoma]	TSG
MB21D2	Missense; ; ; ; ; 	Somatic; 	[lung cancer]; []	
MDM2	Amplication; ; ; ; ; 	Somatic; 	[sarcoma, glioma, colorectal, other tumour types]; []	oncogene
MDM4	Amplication; ; ; ; ; 	Somatic; 	[glioblastoma, bladder, retinoblastoma]; []	oncogene
MDS2	Translocation; ; ; ; ; 	Somatic; 	[MDS]; []	fusion
MECOM	Translocation; ; ; ; ; 	Somatic; 	[AML, CML, MDS]; []	oncogene, fusion
MED12	Missense; Splice site; Other; ; ; 	Somatic; 	[uterine leiomyoma, fibroadenoma, phyllodes tumour]; []	TSG
MEN1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[parathyroid tumours, pancreatic neuroendocrine tumour]; [parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid]	TSG
MET	Missense; ; ; ; ; 	Somatic; 	[papillary renal, head-neck squamous cell]; [papillary renal]	oncogene
MGMT	Deletion; ; ; ; ; 	Somatic; 	[glioma]; []	TSG
MITF	Amplication; ; ; ; ; 	Somatic; 	[melanoma]; []	oncogene
MLF1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion
MLH1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[colorectal, endometrial, ovarian, CNS tumours]; [colorectal, endometrial, ovarian, CNS]	TSG
MLLT1	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	fusion
MLLT10	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	oncogene, fusion
MLLT11	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	fusion
MLLT3	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	fusion
MLLT6	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	fusion
MN1	Translocation; ; ; ; ; 	Somatic; 	[AML, MDS]; []	oncogene, fusion
MNX1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
MPL	Missense; ; ; ; ; 	Somatic; Germline	[MPN]; [MPN]	oncogene
MRTFA	Translocation; ; ; ; ; 	Somatic; 	[acute megakaryocytic leukaemia]; []	oncogene, TSG, fusion
MSH2	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[colorectal, endometrial, ovarian]; [colorectal, endometrial, ovarian]	TSG
MSH6	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[colorectal]; [colorectal, endometrial, ovarian]	TSG
MSI2	Translocation; ; ; ; ; 	Somatic; 	[CML]; []	oncogene, fusion
MSN	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	fusion
MTCP1	Translocation; ; ; ; ; 	Somatic; 	[T cell prolymphocytic leukaemia]; []	oncogene, fusion
MTOR	Missense; Nonsense; ; ; ; 	Somatic; 	[endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types]; []	oncogene
MUC1	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	fusion
MUC16	Missense; ; ; ; ; 	Somatic; 	[HNSCC, melanoma]; []	oncogene
MUC4	Missense; Other; ; ; ; 	Somatic; 	[HNSCC]; []	oncogene
MUTYH	Missense; ; ; ; ; 	; Germline	[]; [colorectal]	TSG
MYB	Translocation; ; ; ; ; 	Somatic; 	[adenoid cystic carcinoma]; []	oncogene, fusion
MYC	Amplication; Translocation; ; ; ; 	Somatic; 	[Burkitt lymphoma, amplified in other cancers, B-CLL]; []	oncogene, fusion
MYCL	Amplication; ; ; ; ; 	Somatic; 	[small cell lung carcinoma]; []	oncogene
MYCN	Amplication; Missense; ; ; ; 	Somatic; 	[neuroblastoma, Wilms tumour]; []	oncogene
MYD88	Missense; ; ; ; ; 	Somatic; 	[ABC-DLBCL]; []	oncogene
MYH11	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
MYH9	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	TSG, fusion
MYO5A	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion
MYOD1	Missense; ; ; ; ; 	Somatic; 	[embryonal rhabdomyosarcoma]; []	oncogene
N4BP2	Deletion; ; ; ; ; 	Somatic; 	[lung cancer]; []	TSG
NAB2	Translocation; ; ; ; ; 	Somatic; 	[solitary fibrous tumour, meningeal haemangiopericytoma]; []	TSG, fusion
NACA	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion
NBEA	Frameshift; Translocation; ; ; ; 	Somatic; 	[large intestine carcinoma, multiple myeloma]; []	
NBN	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [NHL, glioma, medulloblastoma, rhabdomyosarcoma]	TSG
NCKIPSD	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	fusion
NCOA1	Translocation; ; ; ; ; 	Somatic; 	[alveolar rhabdomyosarcoma]; []	fusion
NCOA2	Translocation; ; ; ; ; 	Somatic; 	[AML, chondrosarcoma, rhabdomyosarcoma]; []	oncogene, fusion
NCOA4	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	TSG, fusion
NCOR1	Missense; Frameshift; Nonsense; Other; ; 	Somatic; 	[breast]; []	TSG
NCOR2	Missense; Frameshift; Nonsense; Other; ; 	Somatic; 	[prostate]; []	TSG
NDRG1	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	TSG, fusion
NF1	Deletion; Missense; Nonsense; Frameshift; Splice site; Other	Somatic; Germline	[neurofibroma, glioma]; [neurofibroma, glioma]	TSG, fusion
NF2	Deletion; Missense; Nonsense; Frameshift; Splice site; Other	Somatic; Germline	[meningioma, acoustic neuroma, renal]; [meningioma, acoustic neuroma]	TSG
NFATC2	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma]; []	oncogene, fusion
NFE2L2	Missense; ; ; ; ; 	Somatic; 	[NSCLC, HNSCC]; []	oncogene, TSG
NFIB	Translocation; ; ; ; ; 	Somatic; 	[adenoid cystic carcinoma, lipoma]; []	fusion
NFKB2	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	oncogene, TSG, fusion
NFKBIE	Frameshift; Missense; ; ; ; 	Somatic; 	[CLL, desmoplastic melanoma]; []	TSG
NIN	Translocation; ; ; ; ; 	Somatic; 	[MPN]; []	fusion
NKX2-1	Amplication; ; ; ; ; 	Somatic; 	[NSCLC]; []	oncogene, TSG
NONO	Translocation; ; ; ; ; 	Somatic; 	[papillary renal]; []	fusion
NOTCH1	Translocation; Missense; Other; ; ; 	Somatic; 	[T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC]; []	oncogene, TSG, fusion
NOTCH2	Nonsense; Frameshift; Missense; ; ; 	Somatic; 	[marginal zone lymphoma, DLBCL, bladder]; []	oncogene, TSG
NPM1	Translocation; Frameshift; ; ; ; 	Somatic; 	[NHL, APL, AML]; []	oncogene, fusion
NR4A3	Translocation; ; ; ; ; 	Somatic; 	[extraskeletal myxoid chondrosarcoma]; []	oncogene, fusion
NRAS	Missense; ; ; ; ; 	Somatic; 	[melanoma, MM, AML, thyroid]; []	oncogene
NRG1	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	TSG, fusion
NSD1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
NSD2	Translocation; ; ; ; ; 	Somatic; 	[MM]; []	oncogene, fusion
NSD3	Translocation; Amplification; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
NT5C2	Missense; ; ; ; ; 	Somatic; 	[relapse ALL]; []	oncogene
NTHL1	Nonsense; Splice site; ; ; ; 	; Germline	[]; [CRC]	TSG
NTRK1	Translocation; Amplification; ; ; ; 	Somatic; 	[papillary thyroid, Spitzoid tumour]; []	oncogene, TSG, fusion
NTRK3	Translocation; ; ; ; ; 	Somatic; 	[congenital fibrosarcoma, secretory breast]; []	oncogene, fusion
NUMA1	Translocation; ; ; ; ; 	Somatic; 	[APL]; []	fusion
NUP214	Translocation; ; ; ; ; 	Somatic; 	[AML, T-ALL]; []	fusion
NUP98	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
NUTM1	Translocation; ; ; ; ; 	Somatic; 	[lethal midline carcinoma]; []	oncogene, fusion
NUTM2B	Translocation; ; ; ; ; 	Somatic; 	[endometrial stromal sarcoma]; []	fusion
NUTM2D	Translocation; ; ; ; ; 	Somatic; 	[endometrial stromal sarcoma]; []	fusion
OLIG2	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion
OMD	Translocation; ; ; ; ; 	Somatic; 	[aneurysmal bone cyst]; []	fusion
P2RY8	Translocation; ; ; ; ; 	Somatic; 	[B-ALL, Down syndrome associated ALL]; []	oncogene, fusion
PABPC1	Missense; Frameshift; ; ; ; 	Somatic; 	[HNSCC, biliary tract carcinoma]; []	oncogene, TSG
PAFAH1B2	Translocation; ; ; ; ; 	Somatic; 	[MLCLS]; []	fusion
PALB2	Frameshift; Nonsense; Missense; ; ; 	; Germline	[]; [Wilms tumour, medulloblastoma, AML ,breast]	TSG
PATZ1	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma]; []	TSG, fusion
PAX3	Translocation; ; ; ; ; 	Somatic; 	[alveolar rhabdomyosarcoma]; []	oncogene, fusion
PAX5	Translocation; Missense; Deletion; Frameshift; Splice site; 	Somatic; 	[NHL, ALL, B-ALL]; []	oncogene, TSG, fusion
PAX7	Translocation; ; ; ; ; 	Somatic; 	[alveolar rhabdomyosarcoma]; []	fusion
PAX8	Translocation; ; ; ; ; 	Somatic; 	[follicular thyroid]; []	fusion
PBRM1	Missense; Nonsense; Frameshift; Splice site; Deletion; Other	Somatic; 	[clear cell renal carcinoma, breast]; []	TSG
PBX1	Translocation; ; ; ; ; 	Somatic; 	[pre B-ALL, myoepithelioma]; []	oncogene, fusion
PCBP1	Missense; ; ; ; ; 	Somatic; 	[CRC]; []	
PCM1	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, CML, MPN]; []	fusion
PDCD1LG2	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma]; []	oncogene, fusion
PDE4DIP	Translocation; ; ; ; ; 	Somatic; 	[MPN]; []	fusion
PDGFB	Translocation; ; ; ; ; 	Somatic; 	[DFSP]; []	oncogene, fusion
PDGFRA	Missense; Other; Translocation; ; ; 	Somatic; Germline	[GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma]; [GIST]	oncogene, fusion
PDGFRB	Translocation; ; ; ; ; 	Somatic; 	[MPN, AML, CMML, CML]; []	oncogene, fusion
PER1	Translocation; ; ; ; ; 	Somatic; 	[AML, CMML]; []	TSG, fusion
PHF6	Frameshift; Nonsense; Splice site; Missense; ; 	Somatic; 	[ETP ALL]; []	TSG
PHOX2B	Missense; Frameshift; ; ; ; 	Somatic; Germline	[neuroblastoma]; [neuroblastoma]	TSG
PICALM	Translocation; ; ; ; ; 	Somatic; 	[T-ALL, AML]; []	fusion
PIK3CA	Missense; ; ; ; ; 	Somatic; 	[colorectal, gastric, glioblastoma, breast]; []	oncogene
PIK3CB	Missense; ; ; ; ; 	Somatic; 	[SCC, NSCLC]; []	oncogene
PIK3R1	Missense; Frameshift; Other; ; ; 	Somatic; 	[glioblastoma, ovarian, colorectal]; []	TSG
PIM1	Translocation; Missense; ; ; ; 	Somatic; 	[NHL]; []	oncogene, fusion
PLAG1	Translocation; ; ; ; ; 	Somatic; 	[salivary adenoma, lipoblastoma]; []	oncogene, fusion
PLCG1	Missense; ; ; ; ; 	Somatic; 	[angiosarcoma]; []	oncogene, fusion
PML	Translocation; ; ; ; ; 	Somatic; 	[APL, ALL]; []	TSG, fusion
PMS1	Missense; Nonsense; ; ; ; 	; Germline	[]; [colorectal, endometrial, ovarian]	
PMS2	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [colorectal, endometrial, ovarian, medulloblastoma, glioma]	TSG
POLD1	Missense; ; ; ; ; 	Somatic; Germline	[CRC]; [CRC]	TSG
POLE	Missense; ; ; ; ; 	Somatic; Germline	[colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer]; [colorectal cancer susceptibility]	TSG
POLG	Nonsense; Other; ; ; ; 	Somatic; 	[CRC]; []	TSG
POLQ	Missense; ; ; ; ; 	Somatic; Germline	[oral SCC]; [breast cancer]	oncogene, TSG
POLR2A	Missense; Other; ; ; ; 	Somatic; 	[meningioma]; []	
POT1	Missense; Nonsense; ; ; ; 	Somatic; 	[CLL]; []	TSG
POU2AF1	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	oncogene, fusion
POU5F1	Translocation; ; ; ; ; 	Somatic; 	[sarcoma]; []	oncogene, fusion
PPARG	Translocation; ; ; ; ; 	Somatic; 	[follicular thyroid]; []	TSG, fusion
PPFIBP1	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour, inflammatory myofibroblastic tumour]; []	fusion
