Gene,Alteration,Origin,Entities,Comments,Reference,RefGene Group
ALPK2,,,BL,,PMID: 31558468,Haem
ANKRD26,"SNVs, INDELS; SV; Germline",,Haem-onc,,Haem-onc gene panel (100k),Haem
ARAF,"SNVs, INDELS",Somatic,Lymphoma; Haem-onc; [Histiocytosis: LCH; ECD; JXG; RDD],,"Clinical gene panel; Haem-onc gene panel (100k); Durham, 2019, 10.1016/j.semcdb.2018.03.003",Haem
ARHGAP26,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
ARHGEF12,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
ARID1A,"SNVs, INDELS; SV",,DLBCL; LPL/WM(15); FL(15); SMZL(5); ABC-DLBCL(5); GCB-DLBCL(10); HGBL-DH-BCL2(10); BL(30); LBCL-11q(10); PMBL(20); MGZL(15); CHL(30); EATL(5); ENKTCL(5); SS(5); MF(10); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
ARID1B,"SNVs, INDELS; SV",,DLBCL; HGBL-DH-BCL2(10); HSTL(20); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
ARID2,"SNVs, INDELS; SV",,Haem-onc,,Haem-onc gene panel (100k),Haem
ARID5B,"SNVs, INDELS",,DLBCL; PMBL(20),,Livia; Livia ref (09/06/2023),Haem
ASXL1,"SNVs, INDELS; SV",,Lymphoma; Haem-onc,,Clinical gene panel; Haem-onc gene panel (100k),Haem
ASXL2,"SNVs, INDELS; SV",,Haem-onc,,Haem-onc gene panel (100k),Haem
ASXL3,"SNVs, INDELS",,Lymphoma; ENKTCL(5),,Clinical gene panel; Livia ref (09/06/2023),Haem
ATIC,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
ATM,"SNVs, INDELS; SV; Germline",,DLBCL; M-CLL(15); MM(5); SMZL(5); NMZL(5); MCL(45); GCB-DLBCL(5); LBCL-IRF4(5); PTCL-NOS(30); MEITL(10); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
ATP6AP1,"SNVs, INDELS",,Lymphoma; FL(5),,Clinical gene panel; Livia ref (09/06/2023),Haem
ATP6V1B2,"SNVs, INDELS",,Lymphoma; FL(10),,Clinical gene panel; Livia ref (09/06/2023),Haem
ATRX,"SNVs, INDELS; SV",,Haem-onc,,Haem-onc gene panel (100k),Haem
B2M,"SNVs, INDELS; LOSS; SV",,DLBCL; FL(10); ABC-DLBCL(10); GCB-DLBCL(20); HGBL-DH-BCL2(15); PMBL(40); MGZL(45); CHL(50); ENKTCL(5); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BACH2,SHM,,DLBCL,,Livia,Haem
BCL10,"SNVs, INDELS; SV; Fusion",,DLBCL; NMZL(10); ABC-DLBCL(5); LBCL-IRF4(10); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BCL11A,"SNVs, INDELS; SHM; GAIN",,DLBCL; Haem-onc,,Livia; Haem-onc gene panel (100k),Haem
BCL11B,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
BCL2,"SNVs, INDELS; SHM; Translocation; GAIN; Fusion",,DLBCL; M-CLL(5); FL(85); GCB-DLBCL(30); HGBL-DH-BCL2(100); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BCL6,"SNVs, INDELS; SHM; Translocation; Fusion",,DLBCL; ABC-DLBCL(30); GCB-DLBCL(20); HGBL-DH-BCL2(35); LBCL-IRF4(20); MGZL(5); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BCL7A,"SNVs, INDELS; SV",,DLBCL; FL(5); NMZL(5); ABC-DLBCL(5); GCB-DLBCL(15); HGBL-DH-BCL2(30); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BCOR,"SNVs, INDELS; SV",,Lymphoma; U-CLL(5); ABC-DLBCL(10); EATL(10); ENKTCL(15); Haem-onc,,Clinical gene panel; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BCORL1,"SNVs, INDELS; SV",,Haem-onc,,Haem-onc gene panel (100k),Haem
BCR,Fusion,,GCB-DLBCL(15); HGBL-DH-BCL2(15); Haem-onc,,Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BIRC2,"SNVs, INDELS; SV",,Haem-onc,,Haem-onc gene panel (100k),Haem
BIRC3,"SHM; SNVs, INDELS; SV; Fusion",,DLBCL; U-CLL(5); SMZL(5); MCL(10); FDCS(30); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BIRC6,,,ABC-DLBCL(5); GCB-DLBCL(10); HGBL-DH-BCL2(10); PMBL(15); MGZL(5),,Livia ref (09/06/2023),Haem
BLM,"SNVs, INDELS; SV; Germline",,Haem-onc,,Haem-onc gene panel (100k),Haem
BLNK,,,MM(5),,Livia ref (09/06/2023),Haem
BMP7,,,BL,,PMID: 31558468,Haem
BRAF,"SNVs, INDELS; Fusion; ",Somatic; Germline,DLBCL; U-CLL(5); MM(10); NMZL(10); GCB-DLBCL(10); LBCL-IRF4(10); MEITL(10); ENKTCL(5); HS(30); LCH(70); ECD(55); Haem-onc; [Histiocytosis: LCH; ECD; JXG; HS; ICH; FDCS; IDCS],"Histiocytosis: [LCH: BRAF V600E, indels and fusions]; [ECD: BRAF V600E]; [JXG: BRAF V600E, fusions]; [HS: BRAF V600E, fusions and other mutation]; [ICH: BRAF V600E]; [FDCS: BRAF V600E]; [IDCS: BRAF V600E]","Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k); Durham, 2019, 10.1016/j.semcdb.2018.03.002",Haem
BRD9,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
BTBD18,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
BTG1,"SNVs, INDELS; SHM; LOSS; SV",,DLBCL; FL(5); NMZL(15); ABC-DLBCL(20); GCB-DLBCL(15); HGBL-DH-BCL2(15); PMBL(20); MGZL(15); CHL(10); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BTG2,"SNVs, INDELS; SHM; SV",,DLBCL; ABC-DLBCL(15); GCB-DLBCL(10); HGBL-DH-BCL2(5); LBCL-11q(40); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
BTK,"SNVs, INDELS",,DLBCL; FL(5); HGBL-DH-BCL2(10); Haem-onc,,Livia; Livia ref (09/06/2023); Haem-onc gene panel (100k),Haem
CALR,"SNVs, INDELS; GAIN",,Haem-onc,,Haem-onc gene panel (100k),Haem
CARD11,"SNVs, INDELS; ",,"DLBCL; Follicular lymphoma; FL(10); SMZL(5); NMZL(10); MALT(10); MCL(5); ABC-DLBCL(15); GCB-DLBCL(15); HGBL-DH-BCL2(5); LBCL-IRF4(35); LBCL-11q(10); PMBL(10); HSTL(5); ATLL(30); SS(5),Haem-onc",,Haem-onc gene panel (100k),Haem
CASP8,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
CASP8AP2,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
CBFA2T3,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
CBFB,"SNVs, INDELS; SV; Fusion",,"Haem-onc,,",,Haem-onc gene panel (100k),Haem
CBL,"SNVs, INDELS; ; LOSS; SV; Fusion; Germline",,"Lymphoma,Haem-onc,,,,",,Haem-onc gene panel (100k),Haem
CBLB,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
CCDN2,,,,,Livia ref (09/06/2023),Haem
CCND1,"SNVs, INDELS; ; GAIN; Fusion",,"Lymphoma; MM(20); MCL(95),Haem-onc,,",,Haem-onc gene panel (100k),Haem
CCND2,GAIN; Fusion,,"Haem-onc,",,Haem-onc gene panel (100k),Haem
CCND3,"SNVs, INDELS; ; GAIN; Fusion",,"DLBCL; SMZL(5); ABC-DLBCL(10); GCB-DLBCL(5); HGBL-DH-BCL2(20); BL(30); LBCL-IRF4(10); LBCL-11q(-1),Haem-onc,,",,Haem-onc gene panel (100k),Haem
CCNE1,GAIN,,Haem-onc,,Haem-onc gene panel (100k),Haem
CCR4,"SNVs, INDELS",,Lymphoma; ATLL(35),,Clinical gene panel; Livia ref (09/06/2023),Haem
CCR6,"SNVs, INDELS; ; SV",,"Lymphoma,Haem-onc,",,Haem-onc gene panel (100k),Haem
CCR7,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
CD19,"SNVs, INDELS",,DLBCL,,Livia,Haem
CD22,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
CD274,"SNVs, INDELS; GAIN",,"DLBCL,Haem-onc",,Haem-onc gene panel (100k),Haem
CD28,"SNVs, INDELS; ",,"Lymphoma; TFHL(10); ATLL(5),Haem-onc",,Haem-onc gene panel (100k),Haem
CD36,,,,,Livia ref (09/06/2023),Haem
CD58,"SNVs, INDELS; ; SV",,"DLBCL; ABC-DLBCL(5); GCB-DLBCL(10); PMBL(15); MGZL(10); ATLL(10),Haem-onc,",,Haem-onc gene panel (100k),Haem
CD70,"SNVs, INDELS; ; SV",,"DLBCL; ABC-DLBCL(5); GCB-DLBCL(10),Haem-onc,",,Haem-onc gene panel (100k),Haem
CD74,SHM,,DLBCL,,Livia,Haem
CD79A,"SNVs, INDELS; ",,"DLBCL,Haem-onc",,Haem-onc gene panel (100k),Haem
CD79B,"SNVs, INDELS; ",,"DLBCL; LPL/WM(10); ABC-DLBCL(25); LBCL-IRF4(20); LBCL-11q(10); HSTL(5),Haem-onc",,Haem-onc gene panel (100k),Haem
CD83,"SNVs, INDELS; SHM; ; SV",,"DLBCL; GCB-DLBCL(15); PMBL(20),Haem-onc,Haem-onc",,Haem-onc gene panel (100k),Haem
CDK4,"SNVs, INDELS; GAIN",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
CDK6,GAIN; Fusion; GAIN,,"Haem-onc,",,Haem-onc gene panel (100k),Haem
CDKN1B,"SNVs, INDELS; ; SV",,"Lymphoma,Haem-onc,",,Haem-onc gene panel (100k),Haem
CDKN2A,"SNVs, INDELS; ; SV",,"DLBCL; ABC-DLBCL(5); CHL(10); ENKTCL(5); FDCS(30); HS(40),Haem-onc,",,Haem-onc gene panel (100k),Haem
CDKN2B,"SNVs, INDELS; ; SV",,"DLBCL,Haem-onc,",,Haem-onc gene panel (100k),Haem
CDKN2C,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
CEBPA,"SNVs, INDELS; LOSS; SV; Germline",,"Haem-onc,,,",,Haem-onc gene panel (100k),Haem
CEP170B,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
CHD1,"SNVs, INDELS; Fusion",,"Lymphoma,Haem-onc",,Haem-onc gene panel (100k),Haem
CHD2,"SNVs, INDELS",,Lymphoma; M-CLL(5),,Clinical gene panel; Livia ref (09/06/2023),Haem
CHD3,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
CHD8,,,BL(5); CHL(10),,Livia ref (09/06/2023),Haem
CHEK2,"SNVs, INDELS; ; SV; Germline",,"Lymphoma,Haem-onc,,",,Haem-onc gene panel (100k),Haem
CHIC2,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
CHST2,,,,,Livia ref (09/06/2023),Haem
CIITA,"SNVs, INDELS; SHM; ; SV; Fusion",,"DLBCL; PMBL(40); MGZL(25); CHL(15),Haem-onc,,",,Haem-onc gene panel (100k),Haem
CIP2A,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
CKS1B,GAIN,,Haem-onc,,Haem-onc gene panel (100k),Haem
CLIP3,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
CLTC,Fusion,Somatic,Haem-onc; ALK-Hist,"[Histiocytosis: KIF5B-ALK fusions were detected in 27 patients, whereas CLTC-ALK,TPM3-ALK, TFG-ALK, EML4-ALK,and DCTN1-ALK fusions were identified in single cases.]","Haem-onc gene panel (100k); Kemps, 2022, 10.1182/BLOOD.2019000962",Haem
CNOT3,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
CPS1,,,,,Livia ref (09/06/2023),Haem
CRBN,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
CREBBP,"SNVs, INDELS; ; LOSS; SV; Fusion",,"DLBCL; Follicular lymphoma; FL(60); SMZL(10); NMZL(15); MALT(15); ABC-DLBCL(10); GCB-DLBCL(30); HGBL-DH-BCL2(45); BL(-1); LBCL-11q(20); CHL(10); MEITL(15); SS(5),Haem-onc,,,",,Haem-onc gene panel (100k),Haem
CRLF2,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
CSF1R,"SNVs, INDELS; ; Fusion",,"Lymphoma,Haem-onc,",,Haem-onc gene panel (100k),Haem
CSF2RA,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
CSF3R,"SNVs, INDELS; Germline",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
CSNK2A1,"SNVs, INDELS",,0,,Clinical gene panel,Haem
CSNK2B,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
CT45A2,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
CTCF,"; SNVs, INDELS; SV",,"BL,Haem-onc,",,Haem-onc gene panel (100k),Haem
CTLA4,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
CTNNB1,"SNVs, INDELS; ",,"Lymphoma,Haem-onc",,Haem-onc gene panel (100k),Haem
CTSS,,,FL(5); ENKTCL(5),,Livia ref (09/06/2023),Haem
CUX1,"SNVs, INDELS; LOSS; SV",,"Haem-onc,,",,Haem-onc gene panel (100k),Haem
CXCR4,"SNVs, INDELS; ; Germline",,"DLBCL; LPL/WM(35); NMZL(10); HGBL-DH-BCL2(5),Haem-onc,",,Haem-onc gene panel (100k),Haem
CXCR5,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
CYLD,"SNVs, INDELS; ; SV",,"Lymphoma,Haem-onc,",,Haem-onc gene panel (100k),Haem
DAB2IP,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
DAZAP1,,,ABC-DLBCL(5),,Livia ref (09/06/2023),Haem
DCTN1,SV,Somatic,ALK-Hist,"KIF5B-ALK fusions were detected in 27 patients, whereas CLTC-ALK,TPM3-ALK, TFG-ALK, EML4-ALK,and DCTN1-ALK fusions were identified in single cases.","Kemps, 2022, 10.1182/BLOOD.2019000962",Haem
DDX3X,"SNVs, INDELS; ; SV",,"DLBCL; U-CLL(5); GCB-DLBCL(10); HGBL-DH-BCL2(15); BL(45); LBCL-11q(40); PMBL(15); CHL(10); EATL(15); HSTL(5); ENKTCL(20),Haem-onc,",,Haem-onc gene panel (100k),Haem
DDX41,"SNVs, INDELS; SV; Germline",,"Haem-onc,,",,Haem-onc gene panel (100k),Haem
DEK,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
DHH,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
DIS3,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
DNMT1,,,BL,,PMID: 31558468,Haem
DNMT3A,"SNVs, INDELS; ; SV",,"Lymphoma; PTCL-NOS(10); TFHL(30); HSTL(5); ENKTCL(5); T-LGLL(5); SS(5),Haem-onc,",,Haem-onc gene panel (100k),Haem
DTX1,"SNVs, INDELS; SHM; ; SV",,"DLBCL; NMZL(10); ABC-DLBCL(15); GCB-DLBCL(10); HGBL-DH-BCL2(10); PMBL(10); CHL(10),Haem-onc,",,Haem-onc gene panel (100k),Haem
DUSP2,SHM,,DLBCL; MM(5); ABC-DLBCL(10); GCB-DLBCL(10); HGBL-DH-BCL2(5); PMBL(15); CHL(15),,Livia; Livia ref (09/06/2023),Haem
DUSP22,"SNVs, INDELS; Fusion",,"Lymphoma; ALK-ALCL(30),Haem-onc",,Haem-onc gene panel (100k),Haem
EBF1,"SNVs, INDELS; ; LOSS; SV; Fusion",,"DLBCL; FL(10); ABC-DLBCL(5); GCB-DLBCL(20); HGBL-DH-BCL2(15); CHL(20),Haem-onc,,,",,Haem-onc gene panel (100k),Haem
ECSIT,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
EEFSEC,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
EGFR,"SNVs, INDELS",,Haem-onc,,Haem-onc gene panel (100k),Haem
EGR1,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
EGR2,"; SNVs, INDELS; LOSS; SV",,"U-CLL(5),Haem-onc,,",,Haem-onc gene panel (100k),Haem
EIF4A1,; Fusion,,"BL,Haem-onc",,Haem-onc gene panel (100k),Haem
ELANE,"SNVs, INDELS; SV; Germline",,Haem-onc,,Haem-onc gene panel (100k),Haem
ELL,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
EML4,Fusion,Somatic,Haem-onc; ALK-Hist,"KIF5B-ALK fusions were detected in 27 patients, whereas CLTC-ALK,TPM3-ALK, TFG-ALK, EML4-ALK,and DCTN1-ALK fusions were identified in single cases.","Haem-onc gene panel (100k); Kemps, 2022, 10.1182/BLOOD.2019000962",Haem
EP300,"SNVs, INDELS; ; SV; Fusion",,"DLBCL; Follicular lymphoma; FL(10); SMZL(5); NMZL(5); MALT(5); ABC-DLBCL(5); GCB-DLBCL(15); HGBL-DH-BCL2(10); LBCL-11q(30); PMBL(15); ENKTCL(5); ATLL(10),Haem-onc,,",,Haem-onc gene panel (100k),Haem
EPOR,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
EPPK1,,,BL,,PMID: 31558468,Haem
EPS15,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
ERBB2,"SNVs, INDELS; GAIN",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
ERBB3,"SNVs, INDELS",Somatic,Haem-onc; LCH,[Histiocytosis: P921Q mutation],"Haem-onc gene panel (100k); Durham, 2019, 10.1016/j.semcdb.2018.03.016",Haem
ERG,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
ETNK1,"SNVs, INDELS",,Haem-onc,,Haem-onc gene panel (100k),Haem
ETS1,"SNVs, INDELS",,DLBCL; ABC-DLBCL(5); GCB-DLBCL(10); HGBL-DH-BCL2(5); BL(5); LBCL-11q(30); PMBL(5),,Livia; Livia ref (09/06/2023),Haem
ETV3,Fusion,Somatic,Haem-onc; LCH; ICH,"[Histiocytosis: LCH, ETV3::NCOA2 fusion ]","Haem-onc gene panel (100k); Durham, 2019, 10.1016/j.semcdb.2018.03.015",Haem
ETV6,"SNVs, INDELS; ; LOSS; SV; Fusion; Germline",,"DLBCL; ABC-DLBCL(15),Haem-onc,,,,",,Haem-onc gene panel (100k),Haem
EWSR1,; Fusion,,"CHL(5),Haem-onc",,Haem-onc gene panel (100k),Haem
EZH2,"SNVs, INDELS; ; LOSS; SV; Fusion",,"DLBCL; Follicular lymphoma; FL(25); NMZL(10); GCB-DLBCL(20); HGBL-DH-BCL2(40); BL(-1); LBCL-11q(15); PMBL(10); HSTL(10),Haem-onc,,,",,Haem-onc gene panel (100k),Haem
FAS,"SNVs, INDELS; ; SV; Germline",,"DLBCL; NMZL(15); ABC-DLBCL(10); GCB-DLBCL(15); HGBL-DH-BCL2(5); CHL(10); ALK-ALCL(5); PTCL-NOS(10); EATL(5); ENKTCL(5); ATLL(10); T-LGLL(5),Haem-onc,,",,Haem-onc gene panel (100k),Haem
FAT1,"SNVs, INDELS; ; SV",,"Lymphoma; NMZL(5); CHL(15); ENKTCL(5),Haem-onc,",,Haem-onc gene panel (100k),Haem
FAT3,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
FAT4,"; SNVs, INDELS; SV",,"M-CLL(5); NMZL(10); ABC-DLBCL(20); GCB-DLBCL(20); BL(10); LBCL-11q(40); PMBL(10); CHL(30); ENKTCL(5),Haem-onc,",,Haem-onc gene panel (100k),Haem
FBXO11,"; SNVs, INDELS; SV",,"MALT(5); BL(25),Haem-onc,",,Haem-onc gene panel (100k),Haem
FBXW7,"SNVs, INDELS; ; SV",,"Lymphoma,Haem-onc,",,Haem-onc gene panel (100k),Haem
FGFR1,"SNVs, INDELS; GAIN; Fusion",,"Haem-onc,,",,Haem-onc gene panel (100k),Haem
FGFR2,"SNVs, INDELS; GAIN",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
FGFR3,"SNVs, INDELS; GAIN; Fusion",,"Haem-onc,,Haem-onc",,Haem-onc gene panel (100k),Haem
FIP1L1,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
FLT3,"SNVs, INDELS; GAIN; Fusion",,"Haem-onc,,",,Haem-onc gene panel (100k),Haem
FOXC1,,,ABC-DLBCL(5),,Livia ref (09/06/2023),Haem
FOXO1,"SNVs, INDELS; ; SV",,"DLBCL; FL(5); NMZL(5); GCB-DLBCL(10); HGBL-DH-BCL2(25); BL(25); LBCL-IRF4(5); LBCL-11q(15),Haem-onc,",,Haem-onc gene panel (100k),Haem
FOXO3,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
FOXO4,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
FOXP1,; Fusion,,"MALT(10),Haem-onc",,Haem-onc gene panel (100k),Haem
FRYL,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
FUS,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
FYN,"SNVs, INDELS",,Lymphoma; PTCL-NOS(10),,Clinical gene panel; Livia ref (09/06/2023),Haem
FZD3,,,BL,,PMID: 31558468,Haem
GAS7,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
GATA1,"SNVs, INDELS; SV; Germline",,"Haem-onc,,",,Haem-onc gene panel (100k),Haem
GATA2,"SNVs, INDELS; Fusion; Germline",,"Haem-onc,,",,Haem-onc gene panel (100k),Haem
GATA3,"SNVs, INDELS; ; SV",,"Lymphoma,Haem-onc,",,Haem-onc gene panel (100k),Haem
GLIS2,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
GMPS,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
GNA13,"SNVs, INDELS; ; SV",,"DLBCL; FL(5); GCB-DLBCL(20); HGBL-DH-BCL2(25); BL(20); LBCL-11q(40); PMBL(40); MGZL(35); CHL(25),Haem-onc,",,Haem-onc gene panel (100k),Haem
GNAI2,"SNVs, INDELS",,Lymphoma; GCB-DLBCL(10); HGBL-DH-BCL2(10); BL(10); MEITL(10),,Clinical gene panel; Livia ref (09/06/2023),Haem
GNAQ,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
GNAS,"SNVs, INDELS; ",,"Lymphoma,Haem-onc",,Haem-onc gene panel (100k),Haem
GNB1,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
GPHN,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
GPR32,,,,,Livia ref (09/06/2023),Haem
GPR34,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
GRHPR,SHM,,DLBCL; ABC-DLBCL(5),,Livia; Livia ref (09/06/2023),Haem
GTF2I,"SNVs, INDELS; SV",,"Haem-onc,",,Haem-onc gene panel (100k),Haem
H2BC12,,,GCB-DLBCL(5),,Livia ref (09/06/2023),Haem
H3C2,,,,,Livia ref (09/06/2023),Haem
HAVCR2,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
HIST1H1B,"SNVs, INDELS; ",,"DLBCL; FL(5); ABC-DLBCL(10); GCB-DLBCL(10); HGBL-DH-BCL2(10); PMBL(15); CHL(10),Haem-onc",,Haem-onc gene panel (100k),Haem
HIST1H1C,"SNVs, INDELS; ",,"DLBCL; GCB-DLBCL(10); HGBL-DH-BCL2(10); LBCL-IRF4(5); LBCL-11q(10); PMBL(5),Haem-onc",,Haem-onc gene panel (100k),Haem
HIST1H1D,"SNVs, INDELS; ",,"DLBCL; MM(5); LPL/WM(5); FL(10); NMZL(10); ABC-DLBCL(15); GCB-DLBCL(15); HGBL-DH-BCL2(20); BL(5); LBCL-IRF4(10); LBCL-11q(10); PMBL(10); MGZL(15); CHL(35),Haem-onc",,Haem-onc gene panel (100k),Haem
HIST1H1E,"SNVs, INDELS; ",,"DLBCL; NMZL(5); MALT(5); ABC-DLBCL(10); GCB-DLBCL(10); HGBL-DH-BCL2(10); PMBL(15); MGZL(10),Haem-onc",,Haem-onc gene panel (100k),Haem
HIST1H2AC,"SNVs, INDELS; ",,"DLBCL,Haem-onc",,Haem-onc gene panel (100k),Haem
HIST1H2AG,"SNVs, INDELS; ",,"DLBCL,Haem-onc",,Haem-onc gene panel (100k),Haem
HIST1H2AM,"SNVs, INDELS; ",,"DLBCL,Haem-onc",,Haem-onc gene panel (100k),Haem
HIST1H2BC,"SNVs, INDELS; ",,"DLBCL,Haem-onc",,Haem-onc gene panel (100k),Haem
HIST1H2BD,"SNVs, INDELS",,Haem-onc,,Haem-onc gene panel (100k),Haem
HIST1H2BG,"SNVs, INDELS",,Haem-onc,,Haem-onc gene panel (100k),Haem
HIST1H2BK,"SNVs, INDELS; ",,"DLBCL,Haem-onc",,Haem-onc gene panel (100k),Haem
HIST1H3B,"SNVs, INDELS",,Haem-onc,,Haem-onc gene panel (100k),Haem
HIST1H3D,,,BL,,PMID: 31558468,Haem
HIST1H3G,"SNVs, INDELS",,Haem-onc,,Haem-onc gene panel (100k),Haem
HIST1H3H,,,BL,,PMID: 31558468,Haem
HIST1H3I,,,BL,,PMID: 31558468,Haem
HIST1H3J,,,BL,,PMID: 31558468,Haem
HIST1H4J,,,BL,,PMID: 31558468,Haem
HLA-A,"SNVs, INDELS; ; SV",,"DLBCL,Haem-onc,",,Haem-onc gene panel (100k),Haem
HLA-B,"SNVs, INDELS; ; SV",,"DLBCL; LPL/WM(5); ABC-DLBCL(20); GCB-DLBCL(10); CHL(20); ATLL(15),Haem-onc,",,Haem-onc gene panel (100k),Haem
HLA-C,"SNVs, INDELS; ; SV",,"DLBCL,Haem-onc,",,Haem-onc gene panel (100k),Haem
HLA-DMB,,,GCB-DLBCL(10),,Livia ref (09/06/2023),Haem
HLF,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
HNRNPD,,,,,Livia ref (09/06/2023),Haem
HNRNPH1,"SNVs, INDELS",,Lymphoma; MCL(5); ABC-DLBCL(5),,Clinical gene panel; Livia ref (09/06/2023),Haem
HNRNPU,,,GCB-DLBCL(5); HGBL-DH-BCL2(15); BL(5),,Livia ref (09/06/2023),Haem
HRAS,"SNVs, INDELS; ",Somatic; Germline,"Haem-onc, HS",,"Haem-onc gene panel (100k); Durham, 2019, 10.1016/j.semcdb.2018.03.009",Haem
HVCN1,"SNVs, INDELS",,DLBCL; FL(5); HGBL-DH-BCL2(10),,Livia; Livia ref (09/06/2023),Haem
ICOS,"SNVs, INDELS",,Lymphoma,,Clinical gene panel,Haem
ID3,"SNVs, INDELS; SV",,"DLBCL; NMZL(5); BL(50); LBCL-11q(-1); HSTL(5),Haem-onc,",,Haem-onc gene panel (100k),Haem
IDH1,"SNVs, INDELS; ",,"Lymphoma,Haem-onc",,Haem-onc gene panel (100k),Haem
IDH2,"SNVs, INDELS; ",,"Lymphoma; TFHL(20); HSTL(5),Haem-onc",,Haem-onc gene panel (100k),Haem
IGH,Fusion,,Haem-onc,,Haem-onc gene panel (100k),Haem
IgH_Region_1,Translocation,,DLBCL,,Livia,Haem
IgH_Region_10,Translocation,,DLBCL,,Livia,Haem
IgH_Region_11,Translocation,,DLBCL,,Livia,Haem
